,Company,PriceRs.,Day HighRs.
0,Jindal Stainless,793.50,837.00
1,Adani Power,755.80,797.00
2,Macrotech Developers,1377.95,1399.00
3,SamvardhanaMotherson,151.25,156.95
4,Emami,625.50,646.20
5,Titagarh Railsystems,1415.70,1450.00
6,J Kumar Infraproject,755.75,764.30
7,Havells India,1907.30,1950.05
8,KNR Constructions,317.90,330.70
9,Exicom Tele-Systems,313.30,346.70
10,Jupiter Wagons,602.20,615.00
11,Blue Star,1576.45,1648.85
12,NCC,286.95,297.70
13,RattanIndia Power,19.15,19.15
14,Oberoi Realty,1819.65,1868.35
