,Company,PriceRs.,Day HighRs.
0,SBI,905.10,912.00
1,Adani Ports &Special,1586.45,1621.40
2,Adani Power,886.85,895.85
3,Adani Enterprises,3658.25,3743.90
4,Rail Vikas Nigam,404.05,425.00
5,ICICI Bank,1148.85,1173.00
6,Axis Bank,1217.85,1242.20
7,REC,603.20,607.80
8,Hindustan Aeron,5277.95,5444.00
9,Power Finance Corp,552.10,557.95
10,Larsen & Toubro,3899.20,3919.90
11,GAIL India,229.75,233.20
12,Bank Of Baroda,296.05,299.70
13,Indian Railway Finance,189.55,200.00
14,Bharat Electronics,317.45,323.00
